,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
0,L,297.5,308.7,1371,46.5,121
1,M,297.4,308.6,1452,41.2,197
2,M,296.4,307.3,2077,19.1,80
3,L,300.4,309.3,1413,50.3,101
4,L,297.4,308.1,1348,57.4,66
5,M,297.8,309.0,1576,45.0,17
6,L,297.6,308.6,1522,37.0,106
7,L,301.0,310.9,1492,36.7,199
8,M,300.4,311.0,1433,46.1,199
9,M,300.7,310.9,1468,41.8,112
10,L,298.2,308.7,1991,20.5,36
11,L,300.5,311.4,1432,47.5,51
12,M,301.7,310.8,1954,21.6,198
13,L,301.0,310.0,1480,43.5,21
14,M,303.8,313.0,1789,23.5,215
15,L,300.4,311.3,1495,51.2,175
16,L,301.2,311.0,1567,35.1,64
17,M,298.7,308.5,1360,52.9,69
18,L,300.7,311.8,1441,38.1,34
19,L,301.6,310.6,1478,36.6,218
20,L,298.1,308.5,1665,29.6,20
21,L,301.1,310.7,1436,45.3,8
22,L,301.0,310.5,1379,57.3,204
23,L,299.8,311.1,1452,47.3,188
24,L,300.0,309.4,1460,43.5,102
25,L,300.6,311.5,1419,38.6,31
26,L,303.7,313.1,1423,41.2,124
27,M,298.8,310.2,1581,37.5,75
28,L,299.3,310.2,1495,49.2,16
29,L,298.0,307.8,1266,60.5,81
30,L,298.4,309.3,1545,36.9,3
31,L,302.8,312.4,1368,49.5,10
32,M,303.4,312.2,1615,35.7,56
33,L,300.5,311.9,1750,28.3,207
34,L,298.3,308.5,1362,53.8,164
35,M,302.3,311.7,1483,40.5,8
36,M,296.5,307.4,1565,43.5,194
37,L,300.6,311.7,1528,43.9,185
38,L,298.8,309.8,1599,33.6,131
39,L,300.0,309.9,1608,33.4,76
40,L,303.7,313.1,1406,48.6,183
41,L,304.1,313.1,1556,36.3,86
42,L,300.5,310.5,1646,34.5,63
43,M,298.1,308.5,1382,54.5,17
44,M,298.1,307.9,1446,42.8,121
45,H,298.9,310.1,1324,54.6,185
